PK_CALZADA,ACCIDENTES
50013138.0,7
29830.0,7
169734.0,7
21126.0,7
91012958.0,7
50012855.0,7
91014070.0,7
504648.0,7
140172.0,7
412753.0,7
214895.0,7
24122867.0,7
91031275.0,7
602387.0,7
24121216.0,7
91064029.0,7
24121253.0,7
91018773.0,7
24119990.0,7
515686.0,7
517936.0,7
602887.0,7
91029095.0,7
91018215.0,7
91013825.0,7
519108.0,7
91020283.0,7
513507.0,7
518465.0,7
91026919.0,7
603613.0,7
602228.0,7
513678.0,7
159200.0,7
390443.0,7
177371.0,7
24120060.0,7
605143.0,7
522348.0,7
91019892.0,7
24121125.0,7
91032958.0,7
521800.0,7
509644.0,7
188710.0,7
415047.0,7
511382.0,7
91035061.0,7
381502.0,7
147245.0,7
91025623.0,7
24120650.0,7
170213.0,7
323613.0,7
24121173.0,7
603454.0,7
141735.0,7
91014498.0,7
522340.0,7
441618.0,7
514458.0,7
24120243.0,7
91025058.0,7
144499.0,7
146776.0,7
91025956.0,7
91026642.0,7
510506.0,7
525810.0,7
91012434.0,7
520955.0,7
514744.0,7
384299.0,7
517043.0,7
502593.0,7
146666.0,7
513963.0,7
383415.0,7
525825.0,7
509339.0,7
380362.0,7
416149.0,7
440117.0,7
91013368.0,7
146068.0,7
368977.0,7
521575.0,7
91064009.0,7
173860.0,7
292062.0,7
520989.0,7
512758.0,7
24123160.0,7
151938.0,7
147445.0,7
91025341.0,7
91026957.0,7
515129.0,7
91035071.0,7
382088.0,7
506474.0,7
91011813.0,7
91063507.0,7
185348.0,7
91026984.0,7
50016858.0,6
50013469.0,6
272262.0,6
50012783.0,6
50014273.0,6
91013932.0,6
91021023.0,6
91013055.0,6
14081.0,6
42178.0,6
514476.0,6
52024.0,6
91015545.0,6
522847.0,6
24119913.0,6
521586.0,6
170409.0,6
522854.0,6
505317.0,6
91024945.0,6
509001.0,6
292720.0,6
91026565.0,6
50015026.0,6
145881.0,6
33151.0,6
91011368.0,6
510379.0,6
363461.0,6
